obstacle_name,obstacle_order,location
Jumping Bars into Cargo Net,4,Venice
Jumping Spider,4,Las Vegas
Jumping Rings,4,Sasuke 27 (Japan)
Swing Surfer,4,Las Vegas
Jumping Spider,4,Venice
Ultimate Cliffhanger,4,Las Vegas
Swing Jump,4,Dallas
(Modified) Ring Toss,4,Kansas City
Jump Hang Kai,4,Denver
(Modified) Ring Toss,4,Kansas City
Wind Chimes,4,Pittsburgh
Ultimate Cliffhanger,4,Las Vegas
Jumping Spider,4,Sasuke 27 (Japan)
Unstable Bridge,4,Sasuke 23 (Japan)
Rope Swing Into Cargo Net,4,St. Louis
Jump Hang,4,Miami
Cargo Crossing,4,Houston
Wingnut Alley,5,Las Vegas
Pipe Slider,5,Venice
Rolling Thunder,5,Philadelphia
Pipe Slider,5,Venice
Slippery Summit,5,Miami
Half-Pipe Attack,5,Sasuke 23 (Japan)
I-Beam Gap,5,Cleveland
Metal Spin,5,Sasuke 23 (Japan)
Battering Ram,5,Minneapolis
Metal Spin,5,Sasuke 26 (Japan)
Curved Body Prop,5,Las Vegas
Swing Circle,5,Sasuke 26 (Japan)
Slippery Summit,5,Miami
Jumping Bars,5,Venice
Sonic Curve,5,Las Vegas
Jumping Bars,5,Venice
I-Beam Cross,5,Los Angeles
Half-Pipe Attack,5,Sasuke 27 (Japan)
Parkour Run,5,Las Vegas
Metal Spin,5,Sasuke 27 (Japan)
Battering Ram,5,Los Angeles
Chain Seesaw,5,Sasuke 27 (Japan)
Pipe Fitter,5,San Antonio
Devil Steps,5,Southwest
Pole Grasper,5,Las Vegas
Devil Steps,5,Southwest
Lightning Bolts,5,Philadelphia
Circle Cross,5,Baltimore
Rolling Thunder,5,Daytona Beach
Monkey Pegs,5,Miami
Swinging Spikes,5,Indianapolis
Monkey Pegs,5,Miami
I-Beam Gap,5,Cleveland
Grip Hang,5,Denver
Jumping Bars,5,Sasuke 23 (Japan)
Grip Hang,5,Denver
Wingnut Alley,5,Las Vegas
Half-Pipe Attack,5,Las Vegas
Bar Hop,5,Kansas City
Metal Spin,5,Las Vegas
Swinging Spikes,5,Indianapolis
Bungee Rope Climb,5,Las Vegas
I-Beam Crossing,5,San Pedro (Military)
Monkey Pegs,5,Venice
Rolling Thunder,5,Daytona Beach
Monkey Pegs,5,Venice
I-Beam Cross,5,Los Angeles
Ring Toss,5,Dallas
Curved Body Prop,5,Las Vegas
Ring Toss,5,Dallas
Battering Ram,5,Minneapolis
Double Tilt Ladder,5,St. Louis
Hang Climb,5,Las Vegas
Double Tilt Ladder,5,St. Louis
Lightning Bolts,5,Philadelphia
Curtain Slider,5,Miami
Roulette Row,5,Las Vegas
Curtain Slider,5,Miami
Bar Hop,5,Kansas City
Devil Steps,5,Denver
Double Wedge,5,Las Vegas
Devil Steps,5,Denver
Pipe Fitter,5,Atlanta
Half-Pipe Attack,5,Las Vegas
Jumping Bars,5,Venice
Metal Spin,5,Las Vegas
Doorknob Drop,5,Los Angeles
Propeller Bar,5,Las Vegas
Crank It Up,5,Dallas
Devil Steps,5,Pittsburgh
Bar Hop,5,Oklahoma City
Devil Steps,5,Pittsburgh
Pipe Fitter,5,Atlanta
Double Tilt Ladder,5,Orlando
Jeep Run,5,Las Vegas
Double Tilt Ladder,5,Orlando
Rail Runner,5,Denver
Bungee Road,5,Kansas City
Doorknob Drop,5,Los Angeles
Bungee Road,5,Kansas City
Pipe Fitter,5,San Antonio
Hourglass Drop,5,Venice
Battering Ram,5,Los Angeles
Hourglass Drop,5,Venice
Spin Hopper,5,Indianapolis
Swinging Spikes,5,Houston
Sonic Curve,5,Las Vegas
Swinging Spikes,5,Houston
Bar Hop,5,Oklahoma City
I-Beam Crossing,5,San Pedro (Military)
Half-Pipe Attack,5,Sasuke 26 (Japan)
Jumping Bars,5,Northeast
Spin Hopper,5,Indianapolis
Curtain Slider,5,Midwest
Rolling Thunder,5,Philadelphia
Rope Junction,5,Mid-South
Jumping Bars,5,Venice
Circle Cross,5,Baltimore
Crank It Up,5,Dallas
Rope Junction,5,Mid-South
Rail Runner,5,Denver
Jumping Bars,5,Northeast
Bungee Rope Climb,5,Las Vegas
Swing Circle,5,Southeast
Curtain Slider,5,Midwest
Swing Circle,5,Southeast
Flying Nunchuks / Trapeze Swing,5,Venice
Metal Spin,5,Las Vegas
Pipe Slider / Devil Steps,5,Northwest
Flying Nunchuks / Trapeze Swing,5,Venice
Half-Pipe Attack,5,Las Vegas
Pipe Slider / Devil Steps,5,Northwest
Warped Wall / Mega Wall,6,Dallas
Warped Wall,6,Venice
Warped Wall,6,Los Angeles
Wall Lift,6,Northeast
Warped Wall,6,Los Angeles
Warped Wall,6,Midwest
Warped Wall,6,Dallas
Hang Climb,6,Las Vegas
Warped Wall,6,Daytona Beach
Warped Wall,6,Northwest
Warped Wall,6,Miami
Warped Wall,6,Mid-South
Water Walls,6,Las Vegas
Warped Wall,6,Mid-South
Wall Lift,6,Las Vegas
Wall Lift,6,Northeast
Warped Wall,6,Philadelphia
Warped Wall,6,Northwest
Warped Wall / Mega Wall,6,Miami
Wall Lift,6,Southeast
Hang Climb,6,Las Vegas
Wall Lift,6,Las Vegas
Warped Wall,6,Kansas City
Warped Wall,6,Midwest
Warped Wall,6,Daytona Beach
Warped Wall,6,Las Vegas
Warped Wall,6,San Antonio
Wall Lift,6,Southeast
Warped Wall,6,Philadelphia
Warped Wall,6,Southwest
Warped Wall,6,Venice
Warped Wall,6,Venice
Warped Wall,6,Cleveland
Warped Wall,6,Baltimore
Warped Wall,6,Los Angeles
Warped Wall,6,Orlando
Warped Wall,6,Los Angeles
Warped Wall,6,Houston
Warped Wall,6,Las Vegas
Warped Wall,6,Pittsburgh
Warped Wall,6,Cleveland
Warped Wall,6,Houston
Warped Wall,6,Minneapolis
Warped Wall,6,Baltimore
Peg Cloud,6,Las Vegas
Warped Wall,6,Orlando
Warped Wall,6,Oklahoma City
Warped Wall,6,Miami
Warped Wall,6,Denver
Warped Wall,6,St. Louis
Warped Wall,6,Oklahoma City
Warped Wall,6,Miami
Warped Wall,6,Las Vegas
Warped Wall,6,Miami
Warped Wall,6,Denver
Wall Lift,6,Sasuke 23 (Japan)
Wall Flip,6,Las Vegas
Wall Lift,6,Sasuke 26 (Japan)
Warped Wall,6,Sasuke 26 (Japan)
Warped Wall,6,Denver
Warped Wall / Mega Wall,6,Minneapolis
Warped Wall,6,Venice
Warped Wall,6,San Pedro (Military)
Warped Wall,6,Venice
Warped Wall,6,San Antonio
Warped Wall,6,Dallas
Warped Wall,6,Las Vegas
Warped Wall,6,Las Vegas
Warped Wall,6,Philadelphia
Warped Wall,6,Dallas
Warped Wall,6,Indianapolis
Warped Wall,6,Venice
Warped Wall,6,Indianapolis
Bungee Rope Climb,6,Sasuke 26 (Japan)
Wall Flip,6,Las Vegas
Warped Wall,6,Venice
Warped Wall,6,San Pedro (Military)
Warped Wall,6,Miami
Warped Wall / Mega Wall,6,Philadelphia
Hang Climb,6,Las Vegas
Peg Cloud,6,Las Vegas
Wall Lift,6,Las Vegas
Hang Climb,6,Sasuke 23 (Japan)
Warped Wall,6,Sasuke 23 (Japan)
Warped Wall,6,Atlanta
Wall Lift,6,Las Vegas
Warped Wall / Mega Wall,6,Los Angeles
Warped Wall,6,Venice
Warped Wall,6,Atlanta
Warped Wall,6,Venice
Warped Wall,6,Indianapolis
Warped Wall,6,Venice
Warped Wall,6,Venice
Warped Wall,6,Las Vegas
Warped Wall,6,Los Angeles
